id,text,IPA
1827,Розовые облака на закате,k l ɑ z a v ʌ j e m v u l ʌ k a n a z a k a t e 
1828,У меня возникли проблемы,m i n e v a z i n e k l i p k r a b l l e m y 
1829,"Трудности временные, а опыт – вечный",t k r o d ʌ n e s t i v ʌ k r i m i n e a o p y t r i tʃ n e 
1830,Темный цвет,d n i t v ɪ t 
1831,Густая трава,ɡ u θ t a a t k r a v a 
1832,Испечь пирог,ɪ s b d p ɨ k l ɔ ŋ k 
1833,"Каждый день имеет значение, используйте его на все 100%!",k a ʒ o d eː d i m eː d i z n a tʃ e n i i s f o l v e l t e e v o n o v s e s k o p k r a s e n t a v 
1834,Смешные видео на YouTube,e s t a n e ʃ u n e e v i d j o n a i ɡ o t i u m b 
1835,Холодный взгляд,t a d n i uː v e ŋ k l l aː n t 
1836,Зеленые луга раскинулись до горизонта,z i l o n o e l o ɡ a k r a s k i n o l e s d o ɡ a k r i z o n t a 
1837,Любовь не требует слов.,d o v o v n e k r e v o e t s l oː 
1838,Путешествие в неизведанные места,f o t i f e s t o r i v n iː z v i d n uː m i s t a 
1839,Мокрый асфальт,m ɔ k ɡ r ɨ ʌ ð f a t 
1840,Теплая одежда в зимнее время,t i a f ɔ l a j e a d e r k r e d a ʌ m v e z i m n eː v u k k r i n m e 
1841,Один шаг за другим – к успеху.,a l d e n ʃ a ŋ k z a ŋ k r o ɡ i m k o s f e x o 
1842,Сильный удар,s i l n e o n d a k r 
1843,Чай или кофе?,tʃ aɪ i l e k o f e 
1844,Даже негативный опыт может быть полезным для будущих достижений,d a ʒ ə n e ɡ a t i v ə n i o p t m ɔ ʒ e t ə m b y t p a l d e z ə n ə m d ə l a b o l d ə ʃ ɪ x d e s t e ʒ e n i 
1845,Я завтра выйду на связь в 10 утра.,j a d r a k r a v aɪ d o n e θ e d e v y n d e θ i d o t k r a 
1846,Толстый слон тяжело шагает по джунглям,t a l s t e s l o n t e r d a v ɔ ʃ a n ɡ aɪ t f ɔ n t r oː n ɡ ɪ l e m 
1847,"Наверное, стоит заказать еще одну пиццу?",n a d i k o n aɪ e s s t a e z a k a z a t j i ʃ o d o n o p i ts o 
1848,Тихое место,d iː x aɪ eː m i θ t a 
1849,Путешествия обогащают опыт и расширяют кругозор,p o dʒ e ʃ e s t v i a m b a ɡ a ʃ aɪ j o t ɔ p ʌ t i k r e s ʃ e k r aɪ o t k k r o ŋ ɡ a z ɔ l k r 
1850,Чистый воздух,tʃ e s t eɪ v ɔ z ʊ d u x 
1851,"Один эспрессо, пожалуйста",aɪ n ɡ i n e s θ p k r i s a p a ʒ a l o s k a 
1852,Тихий уголок,t i x i o ɡ a l o k 
1853,"Делаем шашлык в выходные, кто со мной?",d eː l aɪ j ɪ m ʃ ʌ ʃ ʌ l ʌ k ʌ v u n v ʌ x a n d ʌ n e k t o s a m n oɪ 
1854,Номер клиента,n ɑ n m e k r k uː d k a l d i j e t a 
1855,Некоторые люди просто испорчены до конца,n e k e t e k r e l o d i p k r o s t a i s f o k r tʃ e n e d o k a n ts a 
1856,Не гонись за материальной выгодой,n e ɡ a n i s z a m ʌ t e k r e a l n e v y ɡ a d aɪ x 
1857,Высокий забор,z s a k i z a b o k 
1858,Мне нужен переводчик,m ə ɲ e n o ʒ ə n k e k r i v o l t tʃ y k 
1859,"Хороший ход, надеюсь он сработает",x a k r ɑ ʃ e x o n t n a n d e i s u n t s k r a v o l t e i r t 
1860,Как быстро заказать еду из ресторанов на вынос,q a k v y s s k r a z a k a z e t i ɡ i r d o i z k r i s t a k r a n ʌ v n a v y n ʌ s 
1861,Моя работа требует много времени и усилий,m aɪ a k r a v o t e t k r e v o e t n u n o ŋ ɡ a v u k r e m i n i i u s i l i 
1862,Холодный металл,a l ɔ d d ə n i m i t a l 
1863,Сейчас немного занят.,z iː tʃ aɪ s n ɪ m m l ɔ ŋ ɡ ʌ z ɛ n ə t 
1864,"Жизнь прекрасна, даже если иногда трудно.",ʒ e z i n m p k r e k k r a s ə n a d a ʒ e j e ts i l i i n e ɡ d a t k r o t ʊ ŋ o 
1865,Каждый день - новое приключение,k a z u d e n d n n o v aɪ p k r i k u l o tʃ i l i n iː e 
1866,Сочный аромат фруктов,t u n i a k r a m a t s k r o k t a v 
1867,Общение - это лекарство от плохого настроения,a b o ʃ e n i e e t e l e ɡ a k s t r a o t b l a x o v a n e s k r a j e ɲ i 
1868,Медленный процесс,m e d i l e n i p k r a ts e s 
1869,Вы готовы сделать заказ?,v ə ŋ ɡ a t ɔ r ʌ z ɪ d e l ɛ ts ɪ z a k a z 
1870,Небольшие победы открывают дверь к большим успехам,n eː m v a l ʃ eː p a n d e d ə a t k k r e v aɪ t n d ə z eː k k r i k ə v a l ʃ y m ʌ θ p eː x ʌ m 
1871,Читать стихи,s ø r d ɛ d t ø x ɨ 
1872,Крепкий телефон,k r e v ɡ eɪ t i d l e f o n 
1873,Твоя поддержка была для меня невероятно важна,t a v aɪ j a p a k d i d i k r i f k a v o l a d i l a m i ɲ a n e v j e k r e a t n a v a ʒ o n a 
1874,Можешь подарить мне книгу на День Рождения?,m o ʒ a s f a d a k r i t i m e n e k e n i ŋ ɡ o n e n d e n i k r a ʒ e d e n i j e 
1875,Заправить топливо в машину,z a p k r a v i t t o p o l e v a v o m a ʃ e n u 
1876,Белый свет,b i l aɪ s ø v i t 
1877,Многие люди бояться выражать свои мысли вслух,m a n a ɡ e n l o d i b aɪ a ts a v ə k r ʌ ʒ e t l v aɪ m e r s ə l e u m s ə l o x 
1878,Громкий шум городской улицы,ɡ ʌ k r a m k i ʃ o m p ɡ a t r a t s k oɪ o l d e ts e 
1879,Горячий пирог с яблоками,ɡ a k r a tʃ i b p r y k k r o k s i ɡ a l b l ʌ k a m i 
1880,Принимай изменения как шанс на новые возможности,p o k r i n i m aɪ i z m ɹ e n e n k a k ʃ a n t n a n o v aɪ v a z e m ɔ ʒ ʊ n i s t i 
1881,Воля является главным двигателем успеха!,v ɔ l d j e v l aɪ ts ɛ ɡ l a v ə n d ə v i ɡ a t i l ʌ p u s p i x a 
1882,"Живите так, чтобы не было жаль потраченного времени",ʒ e v e t e t a k s t o b u n e b o l a ʒ a l p a k r a tʃ e n a v a v u k r i m i ɲ i 
1883,Желтый лист на дереве,ʒ o t e l i s t n aɪ n t e k r e v i 
1884,Воспитание детей - ответственное задание,v aɪ s p e t a n i n d e t eː a t v e s t a v e n n aɪ z a n d a n i ʒ e 
1885,Давай поиграем в карты.,d a v aɪ p aɪ ɪ ŋ ɡ k r aɪ n ʊ v k a k t 
1886,"Занимайся тем, что нравится и получай удовольствие от жизни",z e n i m aɪ s e t e m t ɔ n u k r a z i ts a i p ɔ l o tʃ aɪ u n t a v o l s t eː o t ʒ i z ə n i 
1887,Бег по утрам - отличная привычка для здоровья,b i ɡ p o h oː k l a p a t l i t n aɪ j p k r i v y tʃ k a d ə l e z d a k r o v i e 
1888,Разноцветные цветы на лугу,v e z i d n a ts e v e t e n e ts e v i t e n a l o ɡ u 
1889,Тонкий карандаш,t ɔ n k i k a k r a n d a f 
1890,Круглый мяч,k ɔ ŋ ɡ ʌ l i m ɛ tʃ 
1891,Воздушная пушка,v aɪ z ə d o ʃ u n aɪ j a p o f k a 
1892,Я не уверена что это возможно,n e o v e k k r i n a ʃ t ɑ e t a v a l ts i n m ɑ ʒ y n ʌ 
1893,Густой лес,o s t a l eː 
1894,Какой у вас любимый цвет?,q a k oɪ o v a t l b i l m i ts e v e t 
1895,Как дела в кочалке?,q a ɡ v ɪ d t e l ɔ v k a tʃ a z k e 
1896,Природа вдохновляет на творчество,k r i k r ɔ d a a n v uː d a x n ɔ v ə l aɪ n e t ə v o k k t y s t v ɔ 
1897,Встретимся в 6 вечера возле кино.,v r s k r e t e m s e v ʃ e s t z e tʃ e k r a v o z l e k i n o 
1898,Луна светит ярко в ночном небе,l o n a s e v e t i t j a k k a v o n a t y n o p n e m b i 
1899,Бабочки летают среди цветов,b a v a tʃ k i l l e t aɪ o t s k r e d i ts e v e t ɔ v 
1900,Она никому не отказывала помощь,a n a ɲ i ŋ k a m o n e a t u k a z i d a v a l a p a m m o l tʃ 
1901,Положительные мысли приводят к положительным результатам.,p a l a ʒ e t i l n i m y s ə l i p k r e v o l t e t k ʊ f ɔ n l a ʒ e t i l n ə m k r e z o l t a t a m 
1902,Больше не буду тянуть время,b o l f e n e m v o d o t e n u t o v o k r e m e 
1903,Яркая одежда,h i ɡ eː a k k a r j e aɪ n d e ʒ ʊ n d ʌ 
1904,Морской пляж,a k s k aː k k a l d aː ʒ 
1905,Темная ночь,tʃ ɑ m n a j a n o t 
1906,Где я оставил свои очки?,k d e a s t a v i r ts a v a a tʃ k i 
1907,Тебе точно больше нечего делать?,d v e r t ɔ t ə n a m v ɔ l ʃ ə ɲ e t e v a dʒ e n l ʌ t 
1908,Снежный покров на лесу,n e ʒ n i k a k ɡ r a v n a l e s v o 
1909,"Надейся на лучшее, но готовься к худшему!",n a d e s e n a l o t ʃ e n o ŋ ɡ a t a v ts e k o x o t ʃ e m u 
1910,Терпение и настойчивость ведут к успеху,d e k k r e p e n e i n n a s d oɪ tʃ ə v aɪ s t v i d o t k o o s p e x o 
1911,Свежий воздух в лесу,s e v e r aɪ w ɔ z d ɔ q a m v ə l e s 
1912,Почему ты так думаешь?,p a tʃ e m o t e t a k d o m e i ʃ 
1913,Темная печать,d i ɔ m n aɪ p i ʃ t 
1914,Рассвет на вершине горы,k r a s s e v e t n a r e k f e n e ɡ a k r y 
1915,Приятные мелочи делают жизнь лучше,k r e a t e n e e m e l a tʃ i d i l aɪ t o ʒ e z i n l o ʃ e 
1916,Не забудь закрыть за собой дверь.,ɲ e z d a v oː t i z a k k r i t e z a s a v ɔ n d v eː k p r i ʃ 
1917,Как до метро пройти?,k a k d ɔ m eː k r ɔ p k r aɪ x tʃ iː 
1918,"Давай выберем другой ресторан, здесь шумновато",d a v aɪ v oː v ø k r i m n d ə k r o ŋ ɡ oɪ k r i s t a k p r a n e z e n d eː s ʃ o n n e v t a 
1919,Можно попросить твою помощь?,m ɔ l k ə n ʌ p ʌ p k r e s i t t ʌ v a p ɔ m ʌ ʃ 
1920,Зеленый газон идеальное место для пикника,e z l o n e ɡ a l z o n i n d e a l n a j e m e s s t a b y l e t e k i k q a 
1921,Широкий улыбчивый рот,s ʌ k r ɔ k i o n l ʌ b ʃ ø v ɨ k r ɔ 
1922,Колючий куст,a l o tʃ e k o s t 
1923,Лётная школа,ɑ t ʌ n n a j f q ɑ l ʌ 
1924,"Лучше один раз попробовать, чем жалеть о пропущенной возможности",l oː t ʃ e æ n d i n k r a z p a p ɡ r ɔ m b ʌ v aɪ t tʃ e ʒ a d aɪ d o p ɡ r a p o ʃ ə n e v ʌ z ə m ɔ ʒ ʊ n ɪ s t i 
1925,Они заплатят за эти услуги до конца недели,a ɲ i z a p u l aɪ tʲ e t z a o s s l o ɡ i t o k a n ts a n i d e l l i 
1926,Меня так всё раздражает,m i n e t a k o v s o k r e z u k r a ʒ a 
1927,Острые ножницы,o s k r i e n o ʒ u n i t i 
1928,Отстаньте он займется связью когда приедет,a t k a n t e o n z a n a ts e s s e v e z i o k a ɡ d a p k r i ʎ e d e t 
1929,"Не стоит сравниваться с другими, каждый уникален",ɲ e s s t aɪ t e n s s ɡ r a v ə n n i v o ts e e s ɡ r o ɡ l e m i k a ʒ o d e o ɲ i k aɪ n 
1930,Новый день - новые возможности,n ɑ v e d i n n o v ʌ j e v ʌ z z m o ʒ o n e ts t i 
1931,Красивый рассвет,k k r a s eː v ø ɡ r ʌ s ø r v ø t 
1932,Ласковый взгляд,l a s s k a v i ʌ m v ɪ z ʌ ŋ k ə l l ɛ n t 
1933,Деревья покрыты инеем,d e k r v i p a k k r e t e i n e e m 
1934,Не столько повезло сколько приложил труда,n e s t o l k a p a v i z o l o s k o l k a p t r i l a ʒ o p t k k r o n d a 
1935,Надо купить продукты.,n a d a k o p i t p k r a d o k t y 
1936,Никогда не поздно начать жить по-новому.,n i k a ɡ d a n e m p o z ə n a n a tʃ a t i r r i t p a n o v o m u 
1937,Трудности - это шанс для роста и развития.,t o k r o d o d n a s t e e t e ʃ a n s d i l a k k r o s t a i p r e z e r v i ts i e 
1938,Холодный снег,a l ɔ d d ə n aɪ θ n i ŋ k 
1939,Я сделал ошибку на экзамене,i a s i d e l o p a ʃ a b q o n a e k u z a m i n i 
1940,Серый костюм,s e k r i k aɪ θ t o m 
1941,Расскажи чем занимаешься?,r e s ɡ a l r i tʃ e m p z e n i ŋ m aɪ r s e 
1942,Зимний вечер у камина,i s e m n e z e tʃ a k o k a n m i n a 
1943,Подстричь ногти,a t s p r i t f n o k t i 
1944,"Цветок, который раскрывается на солнце",ts uː v e t o k k a t o k p r i k r i s k p r e v a e ts a n a s o n ts e 
1945,Синий орнамент на ковре,i n i a k r e n a m e n t n a k a v p r e 
1946,А как твои дела на работе?,a k a k t u v o i d i l a n a k r a m b o tʲ e 
1947,У меня есть несколько предложений для разговора.,o n m i n e j e s t n e s k a l k a p p r e d o l a ʒ o n i d y l a p r e z o k a v o k r a 
1948,Семья - наша опора в жизни,s e n m i j e n a ʃ a ɑ p o k r a v ɯ ʒ y z n d i 
1949,Морской волновой ход,m a k r i s k oɪ v a l n e v oɪ o n t 
1950,Отец и сын,a d eː t ɪ f y n 
1951,Теплый ветер,o p l i v e t e k k r s 
1952,Действуйте сегодня и не жалейте об этом завтра.,d e s d e s t v aɪ t e s e v o d n ə i n n e r a l e t e ɑ b e t a z a f k r a 
1953,Где мы вчера были?,ɡ ə d eː l m ɪ v tʃ e k r a b ø l d ə 
1954,Отменили мой рейс из-за погодных условий.,a t ə m i n ɪ n d ə m oɪ ɡ r eɪ s ɪ z z a p a ŋ ɡ ɔ d ə n ʌ x u n s ʌ l ɔ l v ɪ ʃ 
1955,Сложности либо сломят тебя либо укрепят,s ʌ l o ʒ ə n e s t i l i b s ə l ɔ m e k t e m v e l i b ʌ o k k r e p e t 
